Vehicle ID,Charger ID,Date,Charging Time,Average Power,Max Power,Total Energy Delivered,SOC Charged
EV016-EV021,CH001,2019-07-19,3.1166666666666667,9.6,9.6,29.93,19.091893636159657
EV016-EV021,CH001,2019-07-19,2.6166666666666667,9.6,9.6,25.13,17.460850590774903
EV016-EV021,CH001,2019-07-18,7.15,9.6,9.6,68.67,32.253186716996595
EV016-EV021,CH001,2019-07-18,1.1166666666666667,9.6,9.6,10.73,12.567721454620646
EV016-EV021,CH001,2019-07-18,0.4666666666666667,9.6,9.6,4.48,10.445259238253836
EV016-EV021,CH001,2019-07-17,1.2,9.6,9.6,11.53,12.83956196218477
EV016-EV021,CH001,2019-07-17,0.3,9.6,9.6,3.03,9.93317208362502
EV016-EV021,CH001,2019-07-17,0.0166666666666666,9.6,9.6,0.16,8.97732049740756
EV016-EV021,CH001,2019-07-16,7.466666666666667,9.6,9.6,71.71,33.28618064574026
EV016-EV021,CH001,2019-07-16,1.3333333333333333,9.6,9.6,12.81,13.27450677428737
EV016-EV021,CH001,2019-07-15,7.083333333333333,9.6,9.6,68.0,32.02939553884541
EV016-EV021,CH001,2019-07-15,1.65,9.6,9.6,15.84,14.30539444566442
EV016-EV021,CH001,2019-07-15,0.0166666666666666,9.6,9.6,0.28,9.002595585807105
EV016-EV021,CH001,2019-07-14,0.15,9.6,9.6,1.44,9.41226530951016
EV016-EV021,CH001,2019-07-14,0.1833333333333333,9.6,9.6,1.76,9.521001512535811
EV016-EV021,CH001,2019-07-14,0.2333333333333333,9.6,9.6,2.24,9.684105817074286
EV016-EV021,CH001,2019-07-14,0.3333333333333333,9.6,9.6,3.2,10.010314426151236
EV016-EV021,CH001,2019-07-14,0.4166666666666667,9.6,9.6,4.0,10.28215493371536
EV016-EV021,CH001,2019-07-14,0.3,9.6,9.6,2.88,9.901578223125586
EV016-EV021,CH001,2019-07-14,0.2333333333333333,9.6,9.6,2.24,9.684105817074286
EV016-EV021,CH001,2019-07-14,0.2166666666666666,9.6,9.6,2.08,9.62973771556146
EV016-EV021,CH001,2019-07-14,0.2833333333333333,9.6,9.6,2.72,9.84721012161276
EV016-EV021,CH001,2019-07-13,0.1833333333333333,9.6,9.6,1.76,9.521001512535811
EV016-EV021,CH001,2019-07-13,0.2333333333333333,9.6,9.6,2.24,9.684105817074286
EV016-EV021,CH001,2019-07-13,0.3166666666666666,9.6,9.6,3.04,9.955946324638411
EV016-EV021,CH001,2019-07-13,0.4,9.6,9.6,3.84,10.227786832202536
EV016-EV021,CH001,2019-07-13,0.3833333333333333,9.6,9.6,3.68,10.173418730689711
EV016-EV021,CH001,2019-07-13,0.3,9.6,9.6,2.88,9.901578223125586
EV016-EV021,CH001,2019-07-13,0.5166666666666667,9.6,9.6,4.96,10.608363542792311
EV016-EV021,CH001,2019-07-12,0.2166666666666666,9.6,9.6,2.08,9.62973771556146
EV016-EV021,CH001,2019-07-12,0.25,9.6,9.6,2.4,9.738473918587111
EV016-EV021,CH001,2019-07-12,0.2666666666666666,9.6,9.6,2.56,9.792842020099936
EV016-EV021,CH001,2019-07-12,0.3333333333333333,9.6,9.6,3.2,10.010314426151236
EV016-EV021,CH001,2019-07-12,0.85,9.6,9.6,8.16,11.695725573048817
EV016-EV021,CH001,2019-07-12,0.0166666666666666,9.6,9.6,0.16,8.97732049740756
EV016-EV021,CH001,2019-07-12,0.05,9.6,9.6,0.48,9.08605670043321
EV016-EV021,CH001,2019-07-12,2.283333333333333,9.6,9.6,21.92,16.371382303151773
EV016-EV021,CH001,2019-07-12,0.2333333333333333,9.6,9.6,2.24,9.684105817074286
EV016-EV021,CH001,2019-07-11,0.8,9.6,9.6,7.68,11.53262126851034
EV016-EV021,CH001,2019-07-11,4.55,9.6,9.6,43.68,23.765444108895988
EV016-EV021,CH001,2019-07-11,1.95,9.6,9.6,18.86,15.313507876028076
EV016-EV021,CH001,2019-07-11,1.25,9.6,9.6,12.0,13.000560009356615
EV016-EV021,CH001,2019-07-10,0.1666666666666666,9.6,9.6,1.6,9.466633411022986
EV016-EV021,CH001,2019-07-10,0.25,9.6,9.6,2.4,9.738473918587111
EV016-EV021,CH001,2019-07-10,1.3666666666666667,9.6,9.6,13.12,13.381136719946394
EV016-EV021,CH001,2019-07-10,3.033333333333333,9.6,9.6,29.12,18.817946871228905
EV016-EV021,CH001,2019-07-10,1.0166666666666666,9.6,9.6,9.76,12.239406588177063
EV016-EV021,CH001,2019-07-09,0.7,9.6,9.6,6.72,11.206412659433388
EV016-EV021,CH001,2019-07-09,5.15,9.6,9.6,49.44,25.72269576335769
EV016-EV021,CH001,2019-07-09,1.3666666666666667,9.6,9.6,13.27,13.412730580445825
EV016-EV021,CH001,2019-07-09,1.1666666666666667,9.6,9.6,11.2,12.728719501792492
EV016-EV021,CH001,2019-07-08,2.9166666666666665,9.6,9.6,28.0,18.437370160639126
EV016-EV021,CH001,2019-07-08,0.2333333333333333,9.6,9.6,2.35,9.707274648107203
EV016-EV021,CH001,2019-07-08,0.5333333333333333,9.6,9.6,5.12,10.662731644305138
EV016-EV021,CH001,2019-07-08,0.0333333333333333,9.6,9.6,0.32,9.031688598920384
EV016-EV021,CH001,2019-07-08,3.466666666666667,9.6,9.6,33.28,20.231517510562355
EV016-EV021,CH001,2019-07-08,0.6166666666666667,9.6,9.6,6.07,10.966166012368696
EV016-EV021,CH001,2019-07-08,0.3833333333333333,9.6,9.6,3.74,10.186056274889484
EV016-EV021,CH001,2019-07-08,0.4166666666666667,9.6,9.6,4.16,10.315855051581424
EV016-EV021,CH001,2019-07-08,1.6166666666666667,9.6,9.6,15.63,14.219827073671688
EV016-EV021,CH001,2019-07-07,0.1333333333333333,9.6,9.6,1.28,9.357897207997336
EV016-EV021,CH001,2019-07-07,0.2166666666666666,9.6,9.6,2.08,9.62973771556146
EV016-EV021,CH001,2019-07-07,0.2166666666666666,9.6,9.6,2.08,9.62973771556146
EV016-EV021,CH001,2019-07-07,0.45,9.6,9.6,4.32,10.390891136741011
EV016-EV021,CH001,2019-07-06,0.2333333333333333,9.6,9.6,2.24,9.684105817074286
EV016-EV021,CH001,2019-07-06,0.25,9.6,9.6,2.4,9.738473918587111
EV016-EV021,CH001,2019-07-06,0.2833333333333333,9.6,9.6,2.72,9.84721012161276
EV016-EV021,CH001,2019-07-06,0.3,9.6,9.6,2.88,9.901578223125586
EV016-EV021,CH001,2019-07-06,0.2333333333333333,9.6,9.6,2.24,9.684105817074286
EV016-EV021,CH001,2019-07-06,0.3333333333333333,9.6,9.6,3.2,10.010314426151236
EV016-EV021,CH001,2019-07-05,0.1666666666666666,9.6,9.6,1.6,9.466633411022986
EV016-EV021,CH001,2019-07-05,0.65,9.6,9.6,6.24,11.043308354894911
EV016-EV021,CH001,2019-07-05,0.0166666666666666,9.6,9.6,0.16,8.97732049740756
EV016-EV021,CH001,2019-07-05,1.2833333333333334,9.6,9.6,12.32,13.109296212382269
EV016-EV021,CH001,2019-07-05,0.2833333333333333,9.6,9.6,2.72,9.84721012161276
EV016-EV021,CH001,2019-07-05,0.25,9.6,9.6,2.4,9.738473918587111
EV016-EV021,CH001,2019-07-05,0.8,9.6,9.6,7.68,11.53262126851034
EV016-EV021,CH001,2019-07-05,0.5,9.6,9.6,4.8,10.553995441279486
EV016-EV021,CH001,2019-07-05,0.0333333333333333,9.6,9.6,0.32,9.031688598920384
EV016-EV021,CH001,2019-07-05,1.5166666666666666,9.6,9.6,14.56,13.87044963356182
EV016-EV021,CH001,2019-07-04,0.1333333333333333,9.6,9.6,1.28,9.357897207997336
EV016-EV021,CH001,2019-07-04,0.2333333333333333,9.6,9.6,2.24,9.684105817074286
EV016-EV021,CH001,2019-07-04,0.2,9.6,9.6,1.92,9.575369614048636
EV016-EV021,CH001,2019-07-04,0.3666666666666666,9.6,9.6,3.52,10.119050629176886
EV016-EV021,CH001,2019-07-03,0.6166666666666667,9.6,9.6,5.92,10.934572151869263
EV016-EV021,CH001,2019-07-03,5.166666666666667,9.6,9.6,49.6,25.77706386487052
EV016-EV021,CH001,2019-07-03,0.9166666666666666,9.6,9.6,8.8,11.913197979100117
EV016-EV021,CH001,2019-07-03,0.6166666666666667,9.6,9.6,5.92,10.934572151869263
EV016-EV021,CH001,2019-07-03,0.7666666666666667,9.6,9.6,7.36,11.42388506548469
EV016-EV021,CH001,2019-07-02,0.1,9.6,9.6,0.96,9.249161004971684
EV016-EV021,CH001,2019-07-02,1.85,9.6,9.6,17.76,14.95781166381832
EV016-EV021,CH001,2019-07-02,1.7666666666666666,9.6,9.6,17.0,14.69439618572071
EV016-EV021,CH001,2019-07-02,0.75,9.6,9.6,7.2,11.369516963971863
EV016-EV021,CH001,2019-07-02,2.716666666666667,9.6,9.6,26.08,17.784952942485226
EV016-EV021,CH001,2019-07-02,0.9,9.6,9.6,8.64,11.85882987758729
EV016-EV021,CH001,2019-07-01,0.5833333333333334,9.6,9.6,5.6,10.825835948843611
EV016-EV021,CH001,2019-07-01,4.75,9.6,9.6,45.6,24.417861327049888
EV016-EV021,CH001,2019-07-01,3.033333333333333,9.6,9.6,29.12,18.817946871228905
EV016-EV021,CH001,2019-07-01,0.1,9.6,9.6,0.96,9.249161004971684
EV016-EV021,CH001,2019-06-30,0.15,9.6,9.6,1.44,9.41226530951016
EV016-EV021,CH001,2019-06-30,0.1666666666666666,9.6,9.6,1.6,9.466633411022986
EV016-EV021,CH001,2019-06-30,0.1833333333333333,9.6,9.6,1.76,9.521001512535811
